Codigo,Descripcion,Marca,Rubro,Subrubro,Categoria,CostoSinIVA,VentaSinIVA,Stock,Unidad
CO0377,LADRILLO CERAMICO HUECO  18X18X33  6.20KG,Ladrillo,Albañileria,Ladrillos,Ladrillos,370.99,500.84,56700,Unidad
CO0373,LADRILLO CERAMICO HUECO  12X18X33  4.40KG,Ladrillo,Albañileria,Ladrillos,Ladrillos,316.05,426.67,39230,Unidad
CO1999,* 25 KG* LOMA NEGRA CEMENTO COMPUESTO   CPC40,Loma Negra,Albañileria,Morteros De Albañilerña,Morteros De Albañilerña,3868.65,5222.68,8687,Unidad
CO0728,"LADRILLO COMUN DE CHACRA - TRELEW  5 X 10 X 21,5 CM",Ladrillo,Albañileria,Ladrillos,Ladrillos,142.95,192.99,86621,Unidad
RV2276,LEVELER  NIVELADOR  PERNO DE SUJECION  X UNIDAD        (125UNX BOLSA),Leveler,Pisos Y Revestimientos,Redes Decorativas,Redes Decorativas,21.37,28.85,662,Unidad
CO0729,"LADRILLON COMUN DE CHACRA  5 X 14,5 X 24 CM",Ladrillon,Albañileria,Ladrillos,Ladrillos,207.60,280.26,35650,Unidad
FE1313,TORNILLO AUTOPER.HEX.T1 P.MECHA C/ARAN.14X2,Tornillo,Ferreteria General,Fijaciones,Fijaciones,108.32,146.24,8541,Unidad
CO0424,PREMOL PREMOLDEADO BLOQUE LISO DE HORMIGON 19X19X39 (14KG),Premol,Albañileria,Premoldeados,Premoldeados,972.58,1312.98,4679,Unidad
CO0693,"LADRILLO CERAMICO HUECO   8X18X33  3,50KG",Ladrillo,Albañileria,Ladrillos,Ladrillos,317.88,429.14,5457,Unidad
CO0185,HIERRO NERVADO CONSTRUCCION BARRA  6 MM [ 2.64KG],Hierro,Siderurgia,Hierros,Hierros,3067.07,4140.54,5362,Unidad
CO0620,CAL SARMIENTO X 25 KG,Cal,Albañileria,Morteros De Albañilerña,Morteros De Albañilerña,2946.44,3977.69,2974,Unidad
CO1263,ISOBLOCK EPS TIPO II 100X42   12CM,Isoblock,Aislacion,Poliestireno,Poliestireno,2593.31,3500.97,985,Unidad
FE1778,FISCHER-TACO FIJACION NYLON SA8 8MM CON TOPE  608238  (2000),Fischer,Ferreteria General,Fijaciones,Fijaciones,24.00,32.39,8076,Unidad
FE1955,TORNILLO MADERA PHILLIPS  8X2     - 4.5X 50,Ips,Ferreteria General,Fijaciones,Fijaciones,29.56,39.91,4761,Unidad
CO0186,HIERRO NERVADO CONSTRUCCION BARRA  8 MM [ 4.80KG],Hierro,Siderurgia,Hierros,Hierros,5418.07,7314.39,2425,Unidad
CO2020,ADOQUIN PCR GRIS  PS8   UNI STONE 8 CM,Adoquin,Albañileria,Premoldeados,Premoldeados,653.93,882.80,3500,Unidad
FE5283,FISCHER TACO NYLON SX P/LAD.HUECO DE  8 MM   608908   (2000),Fischer,Ferreteria General,Fijaciones,Fijaciones,40.47,54.64,952,Unidad
FE1334,TORNILLO AUTOPER.HEX.P17 T2 P.AGUJA P/TECHO TIR.MAD.14X2.1/2,Tornillo,Ferreteria General,Fijaciones,Fijaciones,97.01,130.97,1991,Unidad
CO0187,HIERRO NERVADO CONSTRUCCION BARRA 10 MM [ 7.40KG],Hierro,Siderurgia,Hierros,Hierros,8270.44,11165.09,2610,Unidad
CO1262,ISOBLOCK EPS TIPO I 100X42   10CM,Isoblock,Aislacion,Poliestireno,Poliestireno,2063.02,2785.08,1065,Unidad
RV2277,LEVELER  NIVELADOR   TUERCA DE NIVELACION  X  UNIDAD             (40UN X BOLSA),Leveler,Pisos Y Revestimientos,Redes Decorativas,Redes Decorativas,38.44,51.89,1711,Unidad
FE1954,TORNILLO MADERA PHILLIPS  8X1.3/4 - 4.5X 45,Ips,Ferreteria General,Fijaciones,Fijaciones,26.53,35.81,2094,Unidad
CO0128,LOMA NEGRA CEMENTO DE ALBANILERIA PLASTICOR X 25 KG,Loma Negra,Albañileria,Morteros De Albañilerña,Morteros De Albañilerña,3595.45,4853.86,1512,Unidad
FE1386,TORNILLO AUTOPER.HEX.T1 P.MECHA C/ARAN.14X2.1/2,Tornillo,Ferreteria General,Fijaciones,Fijaciones,106.88,144.29,3705,Unidad
FE1320,TORN.AUTOPERF.T3 CAB.FRES.C/ALA FRESAD. 8X1.1/4,Ferreteria General,Ferreteria General,Fijaciones,Fijaciones,16.55,22.34,10036,Unidad
FE9064,DAS DACH TACO PLASTICO P/CHAPA SINUS. BLANCA (1500),Das,Siderurgia,Chapas,Chapas,87.64,118.31,2080,Unidad
FE4071,FILM POLIET.200 MICR 4.00MT NEGRO      X ML [ 50],Film,Aislacion,Nylon,Nylon,935.00,1262.24,133,Unidad
CO0216,ALAMBRE RECOCIDO 30/45 NEGRO ACINDAR NR.17 [1.42],Acindar,Ferreteria General,Fijaciones,Fijaciones,2317.89,3129.15,1593,Unidad
CO2000,BLOQUE PCR GRIS B20   LISO PORTANTE      19X19X39,Bloque,Albañileria,Premoldeados,Premoldeados,1951.52,2634.56,192,Unidad
CO9281,"PREMOL ADOQUIN UNI STONE 8   22 X 11 X 8 CM DE ESPESOR. (4,5KG)",Premol,Pisos Y Revestimientos,Exterior-Patios -Veredas,Exterior-Patios -Veredas,568.99,768.13,4325,Unidad
CO9407,KG LASER CHAPA LAMINADA EN FRIO Nº 18,Siderurgia,Siderurgia,Chapas,Chapas,2275.15,3071.46,27067,Unidad
FE1311,TORNILLO AUTOPER.HEX.T1 P.MECHA C/ARAN.14X1,Tornillo,Ferreteria General,Fijaciones,Fijaciones,85.38,115.26,4848,Unidad
